instance	master	x	y	orient	input_net	output_net	upstream_loads	output_loads	merged_fanout	driver_term
FE_OFC232_02853	BUF_X1	148.39	73.08	R0	_02853_	FE_OFN232_02853	5	16	20	_11664_/ZN
FE_OFC231_02846	BUF_X1	145.73	73.08	R0	_02846_	FE_OFN231_02846	7	15	21	_11657_/Z
FE_OFC230_02845	BUF_X1	140.41	68.88	MX	_02845_	FE_OFN230_02845	5	14	18	_11656_/ZN
FE_OFC229_02837	BUF_X1	145.16	71.68	MX	FE_OFN228_02837	FE_OFN229_02837	11	16	26	FE_OFC228_02837/Z
FE_OFC227_02836	BUF_X1	149.91	70.28	R0	FE_OFN226_02836	FE_OFN227_02836	11	13	23	FE_OFC226_02836/Z
FE_OFC225_02830	BUF_X1	148.39	64.68	MY	FE_OFN222_02830	FE_OFN225_02830	13	15	27	FE_OFC222_02830/Z
FE_OFC224_02830	BUF_X1	150.29	66.08	MX	FE_OFN222_02830	FE_OFN224_02830	13	13	25	FE_OFC222_02830/Z
FE_OFC223_02830	BUF_X1	133.76	68.88	R180	FE_OFN222_02830	FE_OFN223_02830	13	15	27	FE_OFC222_02830/Z
FE_OFC221_02829	BUF_X1	155.61	66.08	MX	FE_OFN219_02829	FE_OFN221_02829	15	16	30	FE_OFC219_02829/Z
FE_OFC220_02829	BUF_X1	137.37	67.48	R0	FE_OFN219_02829	FE_OFN220_02829	15	14	28	FE_OFC219_02829/Z
FE_OFC218_02821	BUF_X1	128.63	67.48	R0	_02821_	FE_OFN218_02821	3	16	18	_11632_/Z
FE_OFC217_02820	BUF_X1	139.46	64.68	R0	FE_OFN216_02820	FE_OFN217_02820	14	13	26	FE_OFC216_02820/Z
FE_OFC215_02813	BUF_X1	131.1	61.88	MY	FE_OFN214_02813	FE_OFN215_02813	13	16	28	FE_OFC214_02813/Z
FE_OFC213_02812	BUF_X1	132.24	63.28	R180	FE_OFN212_02812	FE_OFN213_02812	11	16	26	FE_OFC212_02812/Z
FE_OFC209_02638	BUF_X1	64.41	110.88	R180	FE_OFN206_02638	FE_OFN209_02638	11	16	26	FE_OFC206_02638/Z
FE_OFC208_02638	BUF_X1	76.38	110.88	R180	_02638_	FE_OFN208_02638	7	16	22	_11447_/Z
FE_OFC207_02638	BUF_X1	79.42	110.88	MX	_02638_	FE_OFN207_02638	7	16	22	_11447_/Z
FE_OFC206_02638	BUF_X1	76.38	103.88	MY	_02638_	FE_OFN206_02638	7	11	17	_11447_/Z
FE_OFC205_02637	BUF_X1	81.32	122.08	MX	FE_OFN203_02637	FE_OFN205_02637	12	14	25	FE_OFC203_02637/Z
FE_OFC204_02637	BUF_X1	73.34	106.68	MY	FE_OFN203_02637	FE_OFN204_02637	12	16	27	FE_OFC203_02637/Z
FE_OFC202_02622	BUF_X1	69.35	105.28	R180	FE_OFN201_02622	FE_OFN202_02622	10	15	24	FE_OFC201_02622/Z
FE_OFC200_02621	BUF_X1	68.78	105.28	R180	FE_OFN199_02621	FE_OFN200_02621	10	14	23	FE_OFC199_02621/Z
FE_OFC198_02614	BUF_X1	65.17	108.08	R180	FE_OFN197_02614	FE_OFN198_02614	12	16	27	FE_OFC197_02614/Z
FE_OFC196_02613	BUF_X1	73.34	102.48	MX	_02613_	FE_OFN196_02613	9	16	24	_11422_/ZN
FE_OFC194_02607	BUF_X1	63.46	110.88	R180	_02607_	FE_OFN194_02607	10	16	25	_11416_/Z
FE_OFC193_02606	BUF_X1	69.35	102.48	R180	_02606_	FE_OFN193_02606	7	12	18	_11415_/ZN
FE_OFC192_02600	BUF_X1	78.09	115.08	R0	FE_OFN190_02600	FE_OFN192_02600	11	16	26	FE_OFC190_02600/Z
FE_OFC191_02600	BUF_X1	73.72	103.88	MY	FE_OFN189_02600	FE_OFN191_02600	13	16	28	FE_OFC189_02600/Z
FE_OFC190_02600	BUF_X1	82.08	109.48	MY	FE_OFN189_02600	FE_OFN190_02600	13	11	23	FE_OFC189_02600/Z
FE_OFC188_02599	BUF_X1	84.93	123.48	MY	FE_OFN186_02599	FE_OFN188_02599	14	16	29	FE_OFC186_02599/Z
FE_OFC187_02599	BUF_X1	67.83	110.88	R180	FE_OFN185_02599	FE_OFN187_02599	12	16	27	FE_OFC185_02599/Z
FE_OFC186_02599	BUF_X1	80.18	117.88	R0	FE_OFN185_02599	FE_OFN186_02599	12	14	25	FE_OFC185_02599/Z
FE_OFC184_02591	BUF_X1	73.34	108.08	R180	FE_OFN183_02591	FE_OFN184_02591	13	14	26	FE_OFC183_02591/Z
FE_OFC182_02590	BUF_X1	84.74	117.88	R0	FE_OFN181_02590	FE_OFN182_02590	11	16	26	FE_OFC181_02590/Z
FE_OFC180_02584	BUF_X1	71.06	112.28	R0	FE_OFN179_02584	FE_OFN180_02584	9	9	17	FE_OFC179_02584/Z
FE_OFC178_02583	BUF_X1	80.75	115.08	MY	FE_OFN177_02583	FE_OFN178_02583	14	12	25	FE_OFC177_02583/Z
FE_OFC176_02284	BUF_X1	136.61	141.68	MX	_02284_	FE_OFN176_02284	11	9	19	_11087_/Z
FE_OFC174_02283	BUF_X1	136.61	143.08	R0	_02283_	FE_OFN174_02283	6	14	19	_11086_/ZN
FE_OFC172_02250	BUF_X1	138.13	137.48	R0	_02250_	FE_OFN172_02250	2	16	17	_11053_/ZN
FE_OFC171_02249	BUF_X1	139.84	136.08	MX	_02249_	FE_OFN171_02249	4	16	19	_11052_/ZN
FE_OFC170_02238	BUF_X1	145.92	141.68	MX	_02238_	FE_OFN170_02238	7	11	17	_11041_/ZN
FE_OFC169_02228	BUF_X1	135.28	140.28	R0	_02228_	FE_OFN169_02228	9	14	22	_11031_/Z
FE_OFC168_02227	BUF_X1	139.65	148.68	R0	FE_OFN167_02227	FE_OFN168_02227	11	16	26	FE_OFC167_02227/Z
FE_OFC165_02209	BUF_X1	142.88	152.88	MX	FE_OFN164_02209	FE_OFN165_02209	14	16	29	FE_OFC164_02209/Z
FE_OFC163_02208	BUF_X1	136.8	144.48	MX	FE_OFN162_02208	FE_OFN163_02208	15	13	27	FE_OFC162_02208/Z
FE_OFC161_01870	BUF_X1	71.44	144.48	MX	FE_OFN160_01870	FE_OFN161_01870	16	16	31	FE_OFC160_01870/Z
FE_OFC160_01870	BUF_X1	85.88	136.08	R180	FE_OFN159_01870	FE_OFN160_01870	12	16	27	FE_OFC159_01870/Z
FE_OFC158_01869	BUF_X1	81.89	157.08	MY	FE_OFN156_01869	FE_OFN158_01869	14	15	28	FE_OFC156_01869/Z
FE_OFC157_01869	BUF_X1	79.42	136.08	R180	_01869_	FE_OFN157_01869	5	16	20	_10665_/ZN
FE_OFC156_01869	BUF_X1	87.97	137.48	R0	_01869_	FE_OFN156_01869	5	14	18	_10665_/ZN
FE_OFC155_01854	BUF_X1	86.83	137.48	MY	_01854_	FE_OFN155_01854	5	16	20	_10650_/Z
FE_OFC154_01853	BUF_X1	86.83	138.88	MX	_01853_	FE_OFN154_01853	7	15	21	_10649_/ZN
FE_OFC153_01846	BUF_X1	88.54	136.08	MX	FE_OFN152_01846	FE_OFN153_01846	11	11	21	FE_OFC152_01846/Z
FE_OFC151_01845	BUF_X1	89.3	141.68	R180	_01845_	FE_OFN151_01845	6	16	21	_10641_/ZN
FE_OFC150_01839	BUF_X1	86.07	144.48	MX	_01839_	FE_OFN150_01839	10	16	25	_10635_/Z
FE_OFC148_01838	BUF_X1	93.1	147.28	R180	_01838_	FE_OFN148_01838	7	14	20	_10634_/ZN
FE_OFC147_01838	BUF_X1	86.64	136.08	MX	_01838_	FE_OFN147_01838	7	14	20	_10634_/ZN
FE_OFC146_01832	BUF_X1	62.32	144.48	MX	FE_OFN144_01832	FE_OFN146_01832	15	16	30	FE_OFC144_01832/Z
FE_OFC145_01832	BUF_X1	79.42	141.68	MX	FE_OFN142_01832	FE_OFN145_01832	15	16	30	FE_OFC142_01832/Z
FE_OFC144_01832	BUF_X1	76.19	133.28	R180	FE_OFN142_01832	FE_OFN144_01832	15	15	29	FE_OFC142_01832/Z
FE_OFC143_01832	BUF_X1	92.72	143.08	MY	FE_OFN142_01832	FE_OFN143_01832	15	14	28	FE_OFC142_01832/Z
FE_OFC141_01831	BUF_X1	91.77	145.88	MY	_01831_	FE_OFN141_01831	8	16	23	_10627_/ZN
FE_OFC140_01831	BUF_X1	84.17	140.28	MY	_01831_	FE_OFN140_01831	8	13	20	_10627_/ZN
FE_OFC139_01823	BUF_X1	84.93	138.88	R180	_01823_	FE_OFN139_01823	8	11	18	_10619_/Z
FE_OFC138_01822	BUF_X1	73.15	133.28	R180	_01822_	FE_OFN138_01822	7	16	22	_10618_/ZN
FE_OFC136_01509	BUF_X1	135.85	115.08	R0	_01509_	FE_OFN136_01509	6	12	17	_10298_/Z
FE_OFC135_01457	BUF_X1	158.46	123.48	R0	FE_OFN134_01457	FE_OFN135_01457	16	14	29	FE_OFC134_01457/Z
FE_OFC134_01457	BUF_X1	148.01	113.68	MX	FE_OFN133_01457	FE_OFN134_01457	13	16	28	FE_OFC133_01457/Z
FE_OFC132_01456	BUF_X1	152.0	126.28	R0	FE_OFN131_01456	FE_OFN132_01456	15	10	24	FE_OFC131_01456/Z
FE_OFC131_01456	BUF_X1	142.88	122.08	MX	FE_OFN129_01456	FE_OFN131_01456	14	15	28	FE_OFC129_01456/Z
FE_OFC130_01456	BUF_X1	143.83	112.28	R0	FE_OFN129_01456	FE_OFN130_01456	14	16	29	FE_OFC129_01456/Z
FE_OFC128_01442	BUF_X1	142.5	115.08	R0	FE_OFN127_01442	FE_OFN128_01442	11	16	26	FE_OFC127_01442/Z
FE_OFC126_01441	BUF_X1	143.45	117.88	MY	_01441_	FE_OFN126_01441	10	16	25	_10230_/ZN
FE_OFC124_01435	BUF_X1	142.5	120.68	R0	_01435_	FE_OFN124_01435	7	15	21	_10224_/Z
FE_OFC122_01427	BUF_X1	142.12	116.48	MX	FE_OFN121_01427	FE_OFN122_01427	12	13	24	FE_OFC121_01427/Z
FE_OFC120_01426	BUF_X1	143.07	123.48	R0	_01426_	FE_OFN120_01426	7	13	19	_10215_/Z
FE_OFC119_01420	BUF_X1	153.9	122.08	MX	FE_OFN118_01420	FE_OFN119_01420	14	14	27	FE_OFC118_01420/Z
FE_OFC118_01420	BUF_X1	143.07	115.08	R0	FE_OFN117_01420	FE_OFN118_01420	16	14	29	FE_OFC117_01420/Z
FE_OFC117_01420	BUF_X1	142.12	109.48	R0	_01420_	FE_OFN117_01420	8	16	23	_10209_/Z
FE_OFC116_01419	BUF_X1	160.74	115.08	R0	FE_OFN114_01419	FE_OFN116_01419	12	11	22	FE_OFC114_01419/Z
FE_OFC115_01419	BUF_X1	137.56	123.48	R0	_01419_	FE_OFN115_01419	9	15	23	_10208_/ZN
FE_OFC114_01419	BUF_X1	140.79	119.28	MX	_01419_	FE_OFN114_01419	9	12	20	_10208_/ZN
FE_OFC113_01419	BUF_X1	138.51	116.48	MX	_01419_	FE_OFN113_01419	9	16	24	_10208_/ZN
FE_OFC112_01411	BUF_X1	139.08	117.88	R0	FE_OFN110_01411	FE_OFN112_01411	12	10	21	FE_OFC110_01411/Z
FE_OFC111_01411	BUF_X1	136.61	112.28	R0	FE_OFN110_01411	FE_OFN111_01411	12	12	23	FE_OFC110_01411/Z
FE_OFC109_01410	BUF_X1	144.59	106.68	R0	FE_OFN108_01410	FE_OFN109_01410	15	16	30	FE_OFC108_01410/Z
FE_OFC107_01404	BUF_X1	136.61	122.08	MX	_01404_	FE_OFN107_01404	5	14	18	_10193_/Z
FE_OFC102_01039	BUF_X1	94.81	29.68	MX	_01039_	FE_OFN102_01039	4	14	17	_09821_/Z
FE_OFC101_01038	BUF_X1	99.75	29.68	MX	FE_OFN100_01038	FE_OFN101_01038	11	11	21	FE_OFC100_01038/Z
FE_OFC99_01033	BUF_X1	116.47	28.28	R0	FE_OFN98_01033	FE_OFN99_01033	13	14	26	FE_OFC98_01033/Z
FE_OFC98_01033	BUF_X1	102.41	29.68	MX	_01033_	FE_OFN98_01033	10	13	22	_09815_/Z
FE_OFC97_01033	BUF_X1	95.0	32.48	MX	_01033_	FE_OFN97_01033	10	12	21	_09815_/Z
